Timestamp,Event Name,Department,Year,Rating,Comments
2025-07-01 10:00 AM,Tech Talk,CSE,2nd,4,Very informative and engaging.
2025-07-01 10:05 AM,Tech Talk,ECE,3rd,3,"Good, but could be more interactive."
2025-07-01 10:10 AM,Workshop,CSE,1st,5,Excellent session with hands-on experience.
2025-07-01 10:15 AM,Seminar,ME,2nd,2,Boring and too long.
2025-07-01 10:20 AM,Workshop,IT,4th,4,"Learned new skills, thank you!"
2025-07-01 10:25 AM,Seminar,CSE,3rd,3,"Average, can improve speaker quality."
2025-07-01 10:30 AM,Tech Talk,ECE,2nd,5,Loved the speaker's energy and examples.
2025-07-01 10:35 AM,Workshop,ME,1st,4,Nice content but network issues disturbed it.
2025-07-01 10:40 AM,Seminar,IT,3rd,1,Not relevant to students.
2025-07-01 10:45 AM,Tech Talk,CSE,4th,5,Best session of the week!
